model,estimate,std_error
1,1,1.98760861430453e-17
2,1,2.24377739409492e-17
3,1,2.23222717294662e-17
1,1,6.41781575246745e-17
2,1,4.72584653617305e-17
3,1,8.31432085014048e-17
1,1,2.20768293595585e-17
2,1,1.31053513523107e-17
3,1,1.53400911976231e-17
1,1,2.56643714595835e-17
2,1,4.03817907517693e-17
3,1,4.00639903235115e-17
1,1,4.2422253769633e-17
2,1,7.27661366137538e-17
3,1,7.25476623073657e-17
1,1,2.58688502251281e-17
2,1,4.27027355703698e-17
3,1,6.46624042711603e-17
1,1,5.1375885403949e-17
2,1,2.1121869553948e-17
3,1,3.18252114140067e-17
1,1,2.22529150685979e-17
2,1,2.37105085628892e-17
3,1,2.45507876451558e-17
1,1,2.91331379897355e-17
2,1,7.48439596403175e-18
3,1,3.24816267004289e-17
1,1,1.06798700010691e-17
2,1,4.25437939159339e-17
3,1,4.61435822304445e-17
1,1,7.57363479320016e-18
2,1,5.74798991205493e-18
3,1,6.54393653366434e-18
1,1,2.14452282604052e-17
2,1,4.42375329243593e-17
3,1,4.81636848173651e-17
1,1,1.42569747305034e-17
2,1,4.69879249903614e-17
3,1,5.96053606489122e-17
1,1,2.22303627946357e-17
2,1,2.97078781390962e-17
3,1,4.23061007002029e-17
1,1,5.66889013287032e-18
2,1,2.10242897158233e-17
3,1,6.0942730294291e-17
1,1,4.82008894757572e-17
2,1,1.15138765472484e-17
3,1,1.22146738098468e-17
1,1,1.0943802839406e-16
2,1,3.90734958352625e-17
3,1,3.96509429592991e-17
1,1,4.88531026967775e-17
2,1,1.72140956240025e-17
3,1,2.83111650650313e-17
1,1,2.04575668081859e-17
2,1,8.47499411313733e-17
3,1,8.5318109855723e-17
1,1,6.44139279015639e-17
2,1,2.33832648864591e-17
3,1,3.01086527071886e-17
1,1,5.85103546984565e-17
2,1,7.11447501355818e-17
3,1,9.35294403251422e-17
1,1,1.51956173288112e-17
2,1,2.92412695158225e-17
3,1,2.90362254024448e-17
1,1,2.05989866121197e-17
2,1,1.80072686044017e-17
3,1,8.34852699553596e-17
1,1,4.66682349040192e-17
2,1,2.46126487755264e-17
3,1,2.45692191787579e-17
